BAIRRO,CIDADE,ESTADO,MODO,DISTANCIA_KM,DURACAO,SAIDA_PARA_18H
colubande,são gonçalo,RJ,transit,37.06,1 hora 21 minutos,16:39
mutando,rio de janeiro,RJ,transit,45.32,1 hora 38 minutos,16:22
ponto chic,nova iguaçu,RJ,transit,56.87,1 hora 53 minutos,16:06
paciencia,rio de janeiro,RJ,transit,65.28,2 horas 17 minutos,15:43
vigario geral,rio de janeiro,RJ,transit,35.31,1 hora 10 minutos,16:49
jardim botânico,rio de janeiro,RJ,transit,8.8,40 minutos,17:19
jardim meriti,sao joao de meriti,RJ,transit,42.91,1 hora 17 minutos,16:43
coelho neto,rio de janeiro,RJ,transit,39.72,1 hora 19 minutos,16:40
santa cruz,rio de janeiro,RJ,transit,74.87,2 horas 52 minutos,15:07
guaratiba,rio de janeiro,RJ,transit,56.45,2 horas 35 minutos,15:25
ilha do governador,rio de janeiro,RJ,transit,29.06,1 hora 27 minutos,16:32
engenho do mato,niterói,RJ,transit,30.74,1 hora 40 minutos,16:19
bancários,rio de janeiro,RJ,transit,32.58,1 hora 36 minutos,16:24
banco de areia,mesquita,RJ,transit,46.39,1 hora 37 minutos,16:23
senador vasconcelos,rio de janeiro,RJ,transit,61.71,2 horas 8 minutos,15:52
inhoaiba,rio de janeiro,RJ,transit,52.95,2 horas 19 minutos,15:41
parque sao vicente,belford roxo,RJ,transit,52.41,2 horas 16 minutos,15:43
queimados,queimados,RJ,transit,66.39,1 hora 57 minutos,16:03
jardim tropical,nova iguaçu,RJ,transit,51.54,1 hora 30 minutos,16:29
village sao roque,rio de janeiro,RJ,transit,,,
olaria,rio de janeiro,RJ,transit,24.18,1 hora 5 minutos,16:54
anil,rio de janeiro,RJ,transit,30.45,1 hora 26 minutos,16:34
quintino bocaiuva,rio de janeiro,RJ,transit,28.71,1 hora 18 minutos,16:42
santa eugenia,nova iguaçu,RJ,transit,56.09,2 horas 1 minuto,15:59
parada de lucas,rio de janeiro,RJ,transit,34.32,1 hora 3 minutos,16:56
rocinha,rio de janeiro,RJ,transit,16.55,1 hora 0 minutos,16:59
caju,rio de janeiro,RJ,transit,16.96,1 hora 0 minutos,17:00
lagoa,rio de janeiro,RJ,transit,7.1,35 minutos,17:25
brás de pina,rio de janeiro,RJ,transit,36.62,1 hora 23 minutos,16:36
vicente de carvalho,rio de janeiro,RJ,transit,25.74,1 hora 11 minutos,16:49
piedade,rio de janeiro,RJ,transit,25.44,1 hora 12 minutos,16:48
centro,minas gerais,RJ,transit,0.61,14 minutos,17:46
campinho,rio de janeiro,RJ,transit,30.57,1 hora 24 minutos,16:35
santa teresa,rio de janeiro,RJ,transit,9.37,51 minutos,17:08
portuguesa,rio de janeiro,RJ,transit,34.01,1 hora 32 minutos,16:28
santissimo,rio de janeiro,RJ,transit,54.12,2 horas 6 minutos,15:54
sao goncalo,são gonçalo,RJ,transit,35.41,1 hora 17 minutos,16:42
gloria,rio de janeiro,RJ,transit,6.17,24 minutos,17:36
nova america,nova iguaçu,RJ,transit,57.45,1 hora 47 minutos,16:12
jardim anhanga,duque de caxias,RJ,transit,57.01,2 horas 14 minutos,15:45
higienópolis,rio de janeiro,RJ,transit,22.39,1 hora 5 minutos,16:54
cocotá,rio de janeiro,RJ,transit,32.34,1 hora 32 minutos,16:28
bairro de fatima,rio de janeiro,RJ,transit,8.48,38 minutos,17:22
aldeia da prata,itaborai,RJ,transit,54.22,1 hora 31 minutos,16:29
freguesia (ilha do governador),rio de janeiro,RJ,transit,35.14,1 hora 45 minutos,16:15
niteroi,niterói,RJ,transit,28.16,54 minutos,17:06
jardim gramacho,duque de caxias,RJ,transit,39.97,1 hora 45 minutos,16:14
cosme velho,rio de janeiro,RJ,transit,8.46,44 minutos,17:16
padre miguel,rio de janeiro,RJ,transit,37.58,1 hora 39 minutos,16:20
rio do ouro,niterói,RJ,transit,44.37,2 horas 7 minutos,15:53
riachuelo,rio de janeiro,RJ,transit,15.25,58 minutos,17:01
vila centenario,duque de caxias,RJ,transit,40.24,1 hora 33 minutos,16:26
icarai,niterói,RJ,transit,26.88,1 hora 7 minutos,16:53
catete,rio de janeiro,RJ,transit,5.8,30 minutos,17:29
jardim sulacap,rio de janeiro,RJ,transit,31.86,1 hora 30 minutos,16:29
são francisco xavier,rio de janeiro,RJ,transit,13.65,50 minutos,17:10
monero,rio de janeiro,RJ,transit,35.58,1 hora 35 minutos,16:25
piratininga,niterói,RJ,transit,26.63,1 hora 26 minutos,16:33
abolicao,rio de janeiro,RJ,transit,26.28,1 hora 7 minutos,16:52
vidigal,rio de janeiro,RJ,transit,11.67,48 minutos,17:12
oswaldo cruz,rio de janeiro,RJ,transit,30.98,1 hora 31 minutos,16:29
pitangueiras,rio de janeiro,RJ,transit,38.49,1 hora 41 minutos,16:19
vila brasil,itaborai,RJ,transit,56.62,1 hora 59 minutos,16:00
deodoro,rio de janeiro,RJ,transit,45.33,1 hora 27 minutos,16:33
catumbi,rio de janeiro,RJ,transit,6.72,34 minutos,17:26
estacio,rio de janeiro,RJ,transit,10.77,48 minutos,17:12
petropolis,petropolis,RJ,transit,75.63,1 hora 52 minutos,16:08
jardim excelsior,rio de janeiro,RJ,transit,138.29,3 horas 26 minutos,14:34
ramos,rio de janeiro,RJ,transit,23.78,1 hora 11 minutos,16:48
praia brava,angra dos reis,RJ,transit,210.48,8 horas 48 minutos,09:11
rio comprido,sao paulo,RJ,transit,9.03,39 minutos,17:20
vargem pequena,rio de janeiro,RJ,transit,44.1,1 hora 29 minutos,16:31
lindo parque,são gonçalo,RJ,transit,39.3,1 hora 19 minutos,16:40
quitandinha,petropolis,RJ,transit,,,
cascadura,rio de janeiro,RJ,transit,29.0,1 hora 14 minutos,16:45
parque vila nova,duque de caxias,RJ,transit,37.53,1 hora 25 minutos,16:35
caxias,rio de janeiro,RJ,transit,34.08,1 hora 8 minutos,16:51
taua,rio de janeiro,RJ,transit,33.24,1 hora 34 minutos,16:25
brasilandia,são gonçalo,RJ,transit,40.11,1 hora 27 minutos,16:33
nova cidade,nilopolis,RJ,transit,47.66,1 hora 47 minutos,16:12
gardênia azul,rio de janeiro,RJ,transit,37.57,1 hora 27 minutos,16:32
santa luzia,são gonçalo,RJ,transit,49.26,1 hora 36 minutos,16:23
laranjal,são gonçalo,RJ,transit,48.33,1 hora 39 minutos,16:21
jardim primavera,duque de caxias,RJ,transit,51.34,2 horas 5 minutos,15:55
cosmos,rio de janeiro,RJ,transit,55.05,2 horas 24 minutos,15:35
jardim caicara,rio de janeiro,RJ,transit,139.04,3 horas 26 minutos,14:33
parque ipiranga,rio de janeiro,RJ,transit,184.86,4 horas 8 minutos,13:52
carlos sampaio,nova iguaçu,RJ,transit,65.7,2 horas 34 minutos,15:26
jardim rosario,rio de janeiro,RJ,transit,53.84,2 horas 14 minutos,15:46
jacaré,rio de janeiro,RJ,transit,17.2,1 hora 3 minutos,16:57
gamboa,rio de janeiro,RJ,transit,10.55,41 minutos,17:18
tomas coelho,rio de janeiro,RJ,transit,24.55,1 hora 9 minutos,16:51
jardim olavo bilac,sao joao de meriti,RJ,transit,45.06,2 horas 13 minutos,15:46
sao francisco,niterói,RJ,transit,32.88,1 hora 17 minutos,16:42
del castilho,rio de janeiro,RJ,transit,23.25,1 hora 4 minutos,16:55
leme,rio de janeiro,RJ,transit,3.52,35 minutos,17:24
jardim boa esperança,rio de janeiro,RJ,transit,228.88,8 horas 21 minutos,09:39
morin,petropolis,RJ,transit,,,
vila de cava,nova iguaçu,RJ,transit,62.6,2 horas 14 minutos,15:45
ufrrj,rio de janeiro,RJ,transit,79.58,3 horas 30 minutos,14:29
jardim america,rio de janeiro,RJ,transit,38.21,1 hora 20 minutos,16:40
maria da graca,rio de janeiro,RJ,transit,19.57,1 hora 6 minutos,16:53
ferradura,armacao dos buzios,RJ,transit,165.77,4 horas 47 minutos,13:13
vila valqueire,rio de janeiro,RJ,transit,29.16,1 hora 21 minutos,16:39
bairro das gracas,belford roxo,RJ,transit,48.98,1 hora 36 minutos,16:24
vilar dos teles,sao joao de meriti,RJ,transit,46.0,1 hora 39 minutos,16:21
vargem grande,rio de janeiro,RJ,transit,48.31,1 hora 35 minutos,16:24
parque anchieta,rio de janeiro,RJ,transit,38.3,1 hora 41 minutos,16:18
sepetiba,rio de janeiro,RJ,transit,63.31,2 horas 49 minutos,15:10
jardim carioca,rio de janeiro,RJ,transit,30.59,1 hora 33 minutos,16:26
acari,rio de janeiro,RJ,transit,31.1,1 hora 21 minutos,16:39
vila oito de maio,rio de janeiro,RJ,transit,36.54,1 hora 24 minutos,16:36
maria paula,são gonçalo,RJ,transit,36.79,1 hora 40 minutos,16:20
santa teresinha,mesquita,RJ,transit,55.4,1 hora 57 minutos,16:03
penha circular,rio de janeiro,RJ,transit,28.0,1 hora 22 minutos,16:38
rio das pedras,rio de janeiro,RJ,transit,29.25,1 hora 17 minutos,16:43
vila pauline,belford roxo,RJ,transit,52.4,2 horas 12 minutos,15:48
vila leopoldina,duque de caxias,RJ,transit,40.92,1 hora 47 minutos,16:12
raul veiga,são gonçalo,RJ,transit,46.13,1 hora 30 minutos,16:29
santo cristo,rio de janeiro,RJ,transit,18.61,53 minutos,17:06
centro,nova iguaçu,RJ,transit,51.76,1 hora 33 minutos,16:27
zumbi,rio de janeiro,RJ,transit,38.81,1 hora 36 minutos,16:24
edson passos,mesquita,RJ,transit,55.01,1 hora 48 minutos,16:11
jardim glaucia,belford roxo,RJ,transit,48.26,1 hora 51 minutos,16:08
coelho da rocha,sao joao de meriti,RJ,transit,45.25,1 hora 27 minutos,16:32
vila inhomirim,mage,RJ,transit,63.81,2 horas 43 minutos,15:16
cruzeiro do sul,mesquita,RJ,transit,47.66,1 hora 43 minutos,16:17
prado,nova friburgo,RJ,transit,,,
parque lafaiete,duque de caxias,RJ,transit,45.31,1 hora 37 minutos,16:23
sete pontes,são gonçalo,RJ,transit,39.17,1 hora 24 minutos,16:35
ouro verde,nova iguaçu,RJ,transit,58.63,2 horas 18 minutos,15:41
mirandopolis,rio de janeiro,RJ,transit,959.01,18 horas 13 minutos,23:47
plante cafe,rio de janeiro,RJ,transit,0.61,14 minutos,17:46
parada 40,niterói,RJ,transit,38.86,1 hora 21 minutos,16:38
senador camara,rio de janeiro,RJ,transit,53.81,2 horas 18 minutos,15:41
cidade de deus,rio de janeiro,RJ,transit,40.53,1 hora 47 minutos,16:12
camorim,rio de janeiro,RJ,transit,47.7,2 horas 3 minutos,15:57
turiacu,rio de janeiro,RJ,transit,35.11,1 hora 36 minutos,16:24
rio de janeiro,rio de janeiro,RJ,transit,0.61,14 minutos,17:46
jarcarepagua,rio de janeiro,RJ,transit,34.58,1 hora 37 minutos,16:23
piquet,rio de janeiro,RJ,transit,43.69,1 hora 33 minutos,16:27
